곡명,첫번째 점수,두번째 점수
Lord=Crossight,9910979,0
Completeness Under Incompleteness,9974537,0
Celestial stinger,9958137,0
Endless GRAVITY,9912280,0
MG277,9969135,0
Fox4-Raize-,9950071,0
REVOLVER,9925268,0
KAC 2013 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- Emperor Side,9933880,9932851
Demise Quartet,9982765,0
伐折羅-vajra-,9991503,0
End to end,9909274,9970004
EMPIRE OF FLAME,9907112,9918738
Candy Colored Hearts,9915397,0
雲の彼方,9816470,0
NEO GRAVITY,9955451,0
Lachryma《Re:Queen’M》,9960792,0
XHAOS JUDGE,9944626,0
conflict,9986168,0
月光乱舞,9953211,0
HAELE III ~Angel Worlds~,9980338,0
ドーパミン,9984520,0
Garakuta Doll Play,9938635,0
きたさいたま2000,9926354,9920796
Got more raves？,9977029,0
FLOWER,9972264,0
ちくわパフェだよ☆ＣＫＰ,9928787,0
Firestorm,9931202,0
初音ミクの消失,9980782,9930555
ΑΩ,9905478,0
veRtrageS,9967275,9779342
XyHATTE,9901552,0
Blastix Riotz,9916188,9949238
Preserved Valkyria,9928247,0
UnivEarth,9941616,0
ΕΛΠΙΣ,9960176,0
灼熱Beach Side Bunny,9921875,0
INF-B《L-aste-R》,10000000,9915717
"gigadelic (かめりあ's ""The TERA"" RMX)",9993068,0
HAVOX,9943686,0
BEAT-NEW-WORLD,9914171,0
Everlasting Message,9932197,0
混乱少女♥そふらんちゃん!!,9904069,9626826
Sayonara Planet Wars,9920542,0
Chant du Cygne,9915014,0
到達してしまった僕らと夢と希望の最之果,9922945,0
KAC 2012 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX-,9944589,0
Invitation from Mr.C,9905956,0
2 MINUTES FIGHTERS,9909945,0
LegenD.,9979313,9942958
World's end,9975233,9895287
The Sampling Paradise (P*Light Remix),9902125,0
幸せになれる隠しコマンドがあるらしい,9942935,0
False Cross,9901515,0
VILE CAT,9965517,0
werewolf howls.,9979628,9953104
Wish upon Twin Stars,9953287,0
Growth Memories,9929389,0
CODE -CRiMSON-,9970156,0
INSECTICIDE,9956843,0
Idola,9998266,0
バンブーソード・ガール,9920770,0
Innocent Tempest,9962090,0
ボルテ体操第一,9910509,0
Harpuia,9915437,0
Black Emperor,9908960,9943469
crazy cinema story,9947513,0
Fiat Lux,9903730,0
IX,9938249,0
デッドボヲルdeホームラン,9943914,0
轟け！恋のビーンボール！！,9960134,0
Verse IV,9919203,0
U.N.オーエンは彼女なのか？haru_naba Remix,9903252,0
超越してしまった彼女と其を生み落した理由,9968762,0
Bangin' Burst,9948041,9921902
For UltraPlayers,9934627,9951424
BLACK or WHITE?,9974102,0
Hellfire,9952033,0
Last Concerto,9948499,0
HYENA,9907261,0
ムーニャポヨポヨスッポコニャーゴ,9982332,0
XROSS INFECTION,9934014,0
snow storm -euphoria-,9926437,0
Quietus Ray,9850299,0
Booths of Fighters,9923706,0
#Fairy_dancing_in_lake,9901997,0
音楽 -resolve-,9938169,0
Joyeuse,9874500,0
ラクガキスト,9941080,0
VALLIS-NERIA,9908652,0
音楽 -壊音楽 mix-,9828442,0
こちら、幸福安心委員会です。,9941209,0
魔境堕天録サリエル,9863123,0
She is my wife すーぱーアイドル☆ミツル子Remixちゃん,9866569,0
The world of sound,9977319,0
魔理沙は大変なものを盗んでいきました,9954039,0
物凄い勢いでけーねが物凄いうた,9848621,0
croiX,9980062,0
Max Burning!!,9956122,0
Absurd Gaff,9930332,0
大宇宙ステージ,9911190,0
V.I.P.,9936461,0
Ganymede kamome mix,9972505,0
Onigo,9902494,0
neu BSP style,9996911,0
FLOWER REDALiCE Remix,9873471,0
Broken 8cmix,9954571,0
